id,text,user_id,sender_id,sender_name,sent_date,sentiment,word_count,created_at,updated_at,twitter_id
1, https://t.co/03Eq8nKOdh,1,243531602,AntonOyung,2016-12-28 00:37:47 +0000,0,1,2017-06-08 03:01:14.493302,2017-06-08 03:01:14.493302,8.1390675720645e+17
2,Hey dylan! I love your covers and would love to do a collab sometime if you're in the area,1,243531602,AntonOyung,2016-12-27 23:28:13 +0000,2,19,2017-06-08 03:01:14.501532,2017-06-08 03:01:14.501532,8.13889250722607e+17
3,nm,1,3221723785,TylerMWong,2016-10-27 20:15:10 +0000,0,1,2017-06-08 03:01:14.506542,2017-06-08 03:01:14.506542,7.91735010449654e+17
4,lol,1,3221723785,TylerMWong,2016-10-27 19:16:14 +0000,1,1,2017-06-08 03:01:14.511657,2017-06-08 03:01:14.511657,7.9172017861895e+17
5,Hahaha :),2,2475800184,aliceylai,2017-01-18 21:41:28 +0000,0,2,2017-06-08 03:03:39.882184,2017-06-08 03:03:39.882184,8.21834920096104e+17
6,testing,2,2475800184,aliceylai,2016-01-28 20:45:20 +0000,0,1,2017-06-08 03:03:39.900227,2017-06-08 03:03:39.900227,6.92810712771592e+17
7,https://t.co/rvauTdSklZ,3,232722665,Miranduhh19,2017-06-08 04:38:43 +0000,0,1,2017-06-08 13:01:26.882753,2017-06-08 13:01:26.882753,8.7267422614623e+17
8,https://t.co/ptvFcSUNeG,3,232722665,Miranduhh19,2017-06-07 21:15:17 +0000,0,1,2017-06-08 13:01:26.888585,2017-06-08 13:01:26.888585,8.72562630484836e+17
9,Barney was blackkkkkkkkk https://t.co/Xyc59LUAvN,3,174508651,erieleisrandom,2017-06-07 17:02:42 +0000,0,4,2017-06-08 13:01:26.893476,2017-06-08 13:01:26.893476,8.72499067900891e+17
10,Yeah yeah as long as you appreciate all the ones I've sent so far lol,3,232722665,Miranduhh19,2017-06-07 16:53:51 +0000,1,15,2017-06-08 13:01:26.89919,2017-06-08 13:01:26.89919,8.7249684197938e+17
11,Wow. Didn't give a single fuck,3,174508651,erieleisrandom,2017-06-07 16:51:14 +0000,-1,6,2017-06-08 13:01:26.903631,2017-06-08 13:01:26.903631,8.72496182404284e+17
12,Lmaooooooooooooooooooooooo this doggggggggg,3,174508651,erieleisrandom,2017-06-07 16:50:06 +0000,0,3,2017-06-08 13:01:26.908134,2017-06-08 13:01:26.908134,8.72495894289056e+17
13,Lmaoooo https://t.co/28FqPLnogc,3,174508651,erieleisrandom,2017-06-07 16:43:45 +0000,0,2,2017-06-08 13:01:26.934615,2017-06-08 13:01:26.934615,8.72494299275022e+17
14,https://t.co/ps1BNMWmYT,3,232722665,Miranduhh19,2017-06-07 16:41:31 +0000,0,1,2017-06-08 13:01:26.943765,2017-06-08 13:01:26.943765,8.72493736814461e+17
15,"Wow get your twitter game up, I've been DMing the shit out of you",3,232722665,Miranduhh19,2017-06-07 16:38:19 +0000,0,14,2017-06-08 13:01:26.951533,2017-06-08 13:01:26.951533,8.72492931885617e+17
16,😂😂 literally!!,3,232722665,Miranduhh19,2017-06-07 16:37:57 +0000,0,2,2017-06-08 13:01:26.959017,2017-06-08 13:01:26.959017,8.72492838772068e+17
17,She with the shits https://t.co/fdmzMVzlET,3,174508651,erieleisrandom,2017-06-07 16:37:43 +0000,0,5,2017-06-08 13:01:26.965802,2017-06-08 13:01:26.965802,8.72492781729702e+17
18,Where has shorty beeeeeeen,3,174508651,erieleisrandom,2017-06-07 16:36:02 +0000,0,4,2017-06-08 13:01:26.973883,2017-06-08 13:01:26.973883,8.72492356964102e+17
19,Bicibrcbxsbkbkaxbbwjxp,3,174508651,erieleisrandom,2017-06-07 16:35:53 +0000,0,1,2017-06-08 13:01:26.981777,2017-06-08 13:01:26.981777,8.72492318330417e+17
20,UIUC19 🙄,3,174508651,erieleisrandom,2017-06-07 16:09:52 +0000,0,2,2017-06-08 13:01:26.990421,2017-06-08 13:01:26.990421,8.72485772431155e+17
21,Going nuts,3,1607348432,thelastsolange,2017-06-07 16:03:11 +0000,0,2,2017-06-08 13:01:26.997383,2017-06-08 13:01:26.997383,8.7248408840962e+17
22,Wowowowowoow,3,1607348432,thelastsolange,2017-06-07 16:03:06 +0000,0,1,2017-06-08 13:01:27.003608,2017-06-08 13:01:27.003608,8.72484068872663e+17
23,Go brazy then. https://t.co/U3JESHhhLd,3,174508651,erieleisrandom,2017-06-07 14:05:45 +0000,0,4,2017-06-08 13:01:27.009395,2017-06-08 13:01:27.009395,8.72454536153223e+17
24,Oh really? Damn son didn't realize I cared. https://t.co/47aqtfAFDE,3,174508651,erieleisrandom,2017-06-07 14:05:31 +0000,1,9,2017-06-08 13:01:27.01511,2017-06-08 13:01:27.01511,8.72454477965611e+17
